"instancia";"dim";"config";"rep";"resultado"
27;119;1;1;69462,3274524264
27;119;1;2;46143,5929941663
27;119;1;3;72599,005091081
27;119;1;4;53842,1826657478
27;119;1;5;59072,5332633717
27;119;1;6;51881,2514389329
27;119;1;7;72247,2640198389
27;119;1;8;63387,8788089516
27;119;1;9;73086,2271574719
27;119;1;10;50055,9601768314
27;119;1;11;40597,0263528138
27;119;1;12;49437,2885716246
27;119;1;13;60352,7555715811
27;119;1;14;68342,6145683061
27;119;1;15;83838,8229459352
27;119;1;16;59161,4363848454
27;119;1;17;72094,6602876503
27;119;1;18;56646,0022219272
27;119;1;19;65030,4462542869
27;119;1;20;87167,1285450649
27;119;1;21;64160,5121589151
27;119;1;22;81114,6890189612
27;119;1;23;32958,9034087803
27;119;1;24;113941,096257661
27;119;1;25;50535,7078488033
27;119;1;26;81351,4719858989
27;119;1;27;79423,1120966102
27;119;1;28;73652,5754238657
27;119;1;29;75727,086342335
27;119;1;30;67754,0613537225
27;119;2;1;8100715,71712207
27;119;2;2;7528234,38086341
27;119;2;3;6968432,95847968
27;119;2;4;8979358,71923763
27;119;2;5;8293347,3298578
27;119;2;6;7888509,83955314
27;119;2;7;8694651,85679899
27;119;2;8;8082526,40859623
27;119;2;9;7411220,58492159
27;119;2;10;8441834,69058829
27;119;2;11;8596716,37310733
27;119;2;12;7804097,30126477
27;119;2;13;8551032,0853066
27;119;2;14;7341921,46823438
27;119;2;15;7339745,38946251
27;119;2;16;9453009,96810433
27;119;2;17;8641366,78047826
27;119;2;18;8887071,8541883
27;119;2;19;7962593,72132694
27;119;2;20;8724035,25815152
27;119;2;21;8199876,81036382
27;119;2;22;9154090,76171592
27;119;2;23;7952081,35254328
27;119;2;24;8567872,40167281
27;119;2;25;8056316,95204783
27;119;2;26;8825701,13985158
27;119;2;27;8559748,8846324
27;119;2;28;7757063,3665627
27;119;2;29;9661610,86276733
27;119;2;30;8809770,07071219
28;123;1;1;66359,0660021917
28;123;1;2;74294,4826929019
28;123;1;3;85805,7411254466
28;123;1;4;71689,8731795533
28;123;1;5;74471,8416577893
28;123;1;6;70890,4181185074
28;123;1;7;74367,8847040327
28;123;1;8;65571,5574865652
28;123;1;9;80562,8191852732
28;123;1;10;74158,2066484515
28;123;1;11;55779,1125187993
28;123;1;12;83553,0761613544
28;123;1;13;68848,5738550267
28;123;1;14;71056,904765548
28;123;1;15;114476,76419127
28;123;1;16;84434,0668318983
28;123;1;17;49837,8141501682
28;123;1;18;65816,6394862437
28;123;1;19;60656,9136356343
28;123;1;20;73043,9501494887
28;123;1;21;58776,4367779485
28;123;1;22;67054,7532188913
28;123;1;23;54782,1533374079
28;123;1;24;97664,8240108186
28;123;1;25;52866,6050981193
28;123;1;26;61697,9219963772
28;123;1;27;81033,0972003622
28;123;1;28;46191,4534558434
28;123;1;29;63971,6962042912
28;123;1;30;90174,867593683
28;123;2;1;8929434,57146568
28;123;2;2;9774217,12733323
28;123;2;3;10084007,6680771
28;123;2;4;10400954,6518814
28;123;2;5;9183510,51314092
28;123;2;6;8825858,06314936
28;123;2;7;8816654,109596
28;123;2;8;8610915,62663241
28;123;2;9;8421576,43974455
28;123;2;10;7652095,82255247
